locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFTETHEX_00001	tRNA	74				tRNA-Trp(cca)
VFTETHEX_00001	gene	74				
VFTETHEX_00002	CDS	384	rplK		COG0080	50S ribosomal protein L11
VFTETHEX_00002	gene	384	rplK			
VFTETHEX_00003	CDS	642				hypothetical protein
VFTETHEX_00003	gene	642				
VFTETHEX_00004	CDS	447				hypothetical protein
VFTETHEX_00004	gene	447				
VFTETHEX_00005	CDS	357	rplL			50S ribosomal protein L7/L12
VFTETHEX_00005	gene	357	rplL			
VFTETHEX_00006	CDS	3894	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
VFTETHEX_00006	gene	3894	rpoB			
VFTETHEX_00007	CDS	3903	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFTETHEX_00007	gene	3903	rpoC			
VFTETHEX_00008	CDS	396	rpsL		COG0048	30S ribosomal protein S12
VFTETHEX_00008	gene	396	rpsL			
VFTETHEX_00009	CDS	474	rpsG		COG0049	30S ribosomal protein S7
VFTETHEX_00009	gene	474	rpsG			
VFTETHEX_00010	CDS	2052	fusA		COG0480	Elongation factor G
VFTETHEX_00010	gene	2052	fusA			
VFTETHEX_00011	CDS	297	rpsJ		COG0051	30S ribosomal protein S10
VFTETHEX_00011	gene	297	rpsJ			
VFTETHEX_00012	tRNA	73				tRNA-Phe(gaa)
VFTETHEX_00012	gene	73				
VFTETHEX_00013	CDS	336				hypothetical protein
VFTETHEX_00013	gene	336				
VFTETHEX_00014	CDS	696	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
VFTETHEX_00014	gene	696	rsmA			
VFTETHEX_00015	CDS	1107	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
VFTETHEX_00015	gene	1107	tyrS			
VFTETHEX_00016	CDS	384	rpsI		COG0103	30S ribosomal protein S9
VFTETHEX_00016	gene	384	rpsI			
VFTETHEX_00017	CDS	336	rplM		COG0102	50S ribosomal protein L13
VFTETHEX_00017	gene	336	rplM			
VFTETHEX_00018	CDS	804	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFTETHEX_00018	gene	804	dapF			
VFTETHEX_00019	CDS	630	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
VFTETHEX_00019	gene	630	rpiA			
VFTETHEX_00020	CDS	1539	infB			Translation initiation factor IF-2
VFTETHEX_00020	gene	1539	infB			
VFTETHEX_00021	tRNA	74				tRNA-Gln(ttg)
VFTETHEX_00021	gene	74				
VFTETHEX_00022	CDS	501				hypothetical protein
VFTETHEX_00022	gene	501				
VFTETHEX_00023	CDS	561	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFTETHEX_00023	gene	561	rsmD			
VFTETHEX_00024	CDS	1125	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFTETHEX_00024	gene	1125	iscS			
VFTETHEX_00025	CDS	1299	lysS	6.1.1.6		Lysine--tRNA ligase
VFTETHEX_00025	gene	1299	lysS			
VFTETHEX_00026	CDS	699	prfB		COG1186	Peptide chain release factor RF2
VFTETHEX_00026	gene	699	prfB			
VFTETHEX_00027	CDS	909	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFTETHEX_00027	gene	909	dapA			
VFTETHEX_00028	tRNA	84				tRNA-Ser(gct)
VFTETHEX_00028	gene	84				
VFTETHEX_00029	CDS	141	rpmG		COG0267	50S ribosomal protein L33
VFTETHEX_00029	gene	141	rpmG			
VFTETHEX_00030	CDS	195	rpmB		COG0227	50S ribosomal protein L28
VFTETHEX_00030	gene	195	rpmB			
VFTETHEX_00031	CDS	2217	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFTETHEX_00031	gene	2217	metE			
VFTETHEX_00032	CDS	744				hypothetical protein
VFTETHEX_00032	gene	744				
VFTETHEX_00033	CDS	1134	metC	4.4.1.8	COG0626	Cystathionine beta-lyase
VFTETHEX_00033	gene	1134	metC			
